feature,verdict,reason,tenure_r,churn_r,fill_overall,fill_gap
phone_valid,EXCLUDE,Near-zero variance — 100% same value,,,1.0,0.0
has_comment,CLEAN,Passes all checks,0.0550240910971083,-0.09326141223925755,1.0,0.0
NPS Reason - Primary,REVIEW,"Fill-rate gap RECOVERABLE: overall=+10pp, late sprints=+1pp",,,0.4027596780375623,0.10135643308443798
NPS Reason - Secondary,EXCLUDE,Very low fill rate (4%),,,0.03947872748179379,0.012683194972992778
NPS Reason - Tertiary,EXCLUDE,Very low fill rate (0%),,,0.0042928325028746646,0.0013343457356547843
Primary Category,REVIEW,"Fill-rate gap RECOVERABLE: overall=+10pp, late sprints=+1pp",,,0.4025297048677654,0.10105607265191896
Secondary Category,EXCLUDE,Very low fill rate (4%),,,0.03940206975852817,0.01258307482881977
Tertiary Category,EXCLUDE,Very low fill rate (0%),,,0.0042928325028746646,0.0013343457356547843
Channel,CLEAN,Passes all checks,,,1.0,0.0
first_time_wifi,CLEAN,Passes all checks,,,1.0,0.0
sprint_num,EXCLUDE,Right-censoring artifact — depends on observation window,-0.05353718912273807,-0.26171306981568626,1.0,0.0
tenure_days,REVIEW,Moderate tenure correlation (r=+1.000) — verify not spurious,1.0,-0.06928335183623427,1.0,0.0
tenure_bucket,CLEAN,Passes all checks,,,1.0,0.0
tenure_excel,CLEAN,Passes all checks,,,0.9391337677270986,-0.07949539447336806
city,CLEAN,Passes all checks,,,1.0,0.0
churn_label,EXCLUDE,Target leakage — mechanically linked to churn definition,,,0.9391337677270986,-0.07949539447336806
recharges_before_sprint,EXCLUDE,Target leakage — mechanically linked to churn definition,0.8947872879387057,-0.13226332020373033,1.0,0.0
tickets_post_sprint,EXCLUDE,Target leakage — mechanically linked to churn definition,-0.03232772490465348,-0.07542162097711773,1.0,0.0
tickets_before_3m,CLEAN,Passes all checks,0.10864134707763211,0.02647110014008851,1.0,0.0
is_post_reset,EXCLUDE,Near-zero variance — 100% same value,,,1.0,0.0
is_payg,EXCLUDE,Near-zero variance — 100% same value,,,1.0,0.0
_source,CLEAN,Passes all checks,,,1.0,0.0
Jab dikkat aayi toh kya kia?,EXCLUDE,Very low fill rate (1%),,,0.005596013798390188,-0.00550837648947137
