respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
9bcd74da121a,0,0% isliye Diya hun kyunki aapka Mahina jo hai na 28 din Ka hi hota hai isiliye zero,28-Day Plan Issue,,Offering/ Plan Dissatisfaction,Verma,,270,CT,Sprint 3,2026-08-01
28b08721210a,2,28days plan is waste. Cant use ott.,28-Day Plan Issue,"OTT Request, No OTT complaint",Offering/ Plan Dissatisfaction,Verma,,270,CT,Sprint 3,2026-08-01
9525122bf5cb,8,Aap 28 din ka dete Ho bus iske sar iske liye dikkat aati Hai nahin to aapka gehun kaise theek hai bus Jo 28 din ka kar rakha hai uski jagah pura Mahina kar diya jaaye to Banda target vice kara leta hai,28-Day Plan Issue,,Offering/ Plan Dissatisfaction,Verma,,270,CT,Sprint 3,2026-08-01
5a0e81d3f371,9,Bahut hi sasta plan hai or customer service bhi achi hai,Affordable,Good Customer Support - Call Centre,Good Price,Verma,,135,CT,Sprint 3,2026-08-01
d1f059c3a78f,10,Budget mein bhi hai achcha bhi hai,Affordable,,Good Price,Verma,,45,CT,Sprint 3,2026-08-01
5e6d7264896d,10,Good budget me isse acha koi wi fi nahi hai,Affordable,,Good Price,Verma,,135,CT,Sprint 3,2026-08-01
ee696bc1d273,10,Good service and low price,Affordable,General Good Service,Good Price,Verma,,270,CT,Sprint 3,2026-08-01
25677a6606dc,10,Sasta hai theek hai Baki yaar to you are chacha,Affordable,,Good Price,Verma,,270,CT,Sprint 3,2026-08-01
f1b08b94af36,10,Sasta sasta our sab sa acha,Affordable,,Good Price,Verma,,270,CT,Sprint 3,2026-08-01
5a6f15494849,7,wiom ka recharge budget friendly hai aur ise koi bhi lagwa sakta hai isi wajah se sahi lagta hai par isme kharabi bss yahi hai ki iske network kabhi kabar down hote hai,Affordable,,Good Price,Verma,,270,CT,Sprint 3,2026-08-01
2553ce07faac,9,Without Installation charges We can use this internet ðŸ›œ,Affordable,,Good Price,Verma,,270,CT,Sprint 3,2026-08-01
a90554e04fb8,6,Ye sabse sasta or sabse achha hai,Affordable,,Good Price,Verma,,45,CT,Sprint 3,2026-08-01
76869904f9d5,1,App is not working,Bad Application,,Application/ Tech ,Verma,,270,CT,Sprint 3,2026-08-01
d635b2189394,0,Today auto debit but not any update discount issue,Autopay,,Application/ Tech ,Verma,,270,CT,Sprint 3,2026-08-01
f6eb659da079,0,BHOT BEKAR WIFI HE KUCH KAAM NHI KARTA CUTOMER SUPPORT Bhi bear he phone nhi uthate,Bad Customer Support - Call Centre,,Bad Cx Support,Verma,,270,CT,Sprint 3,2026-08-01
9bad85edae93,5,आपके प्रोवाइडर की सर्विस अच्छी नहीं है। और 6 बजे के बाद कोई शिकायत पर कुछ नहीं देखा जाता।,Bad Customer Support - Technician,,Bad Cx Support,Verma,,270,CT,Sprint 3,2026-08-01
5d4bb5705039,10,,,,,Verma,,135,CT,Sprint 3,2026-08-01
0ee03d1edafa,10,,,,,Verma,,45,CT,Sprint 3,2026-08-01
cdc59c57566d,10,,,,,Verma,,135,CT,Sprint 3,2026-08-01
5b4ad03200b5,10,,,,,Verma,,270,CT,Sprint 3,2026-08-01
4864bd14d65a,3,Always no internet issue,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
50d0d3822e89,0,"Apke wiom ki service ek dam bekar daliy cable line mai fault ho jata online complaint karte hai koi technician nhi aata hai jisse wiom connection lagwaya tha vo bhi apna phone switch off kar leta hai isiliye advise hai wiom connection Rating 
 000000",Frequent Disconnections,Bad Customer Support - Technician,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
840b1a1075f1,0,Bahut bekar Internet hai iska har baar problem karta hai har ek situation me kabhi chalta hai kabhi nahi chalta bar bar band ho jata hai no internet problem toh isme bahut badi problem hai or speed bhi bahut jaldi hii bekar ho jati hai toh ager ye sari chije sahi ho jaye toh ye sabse badiya router hai,Frequent Disconnections,Slow Speed,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
42edbba56908,0,Bahut zada issue aata hai aaj bhi net nahi chal raha,Frequent Disconnections,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
3e130abf9424,1,,,,,Verma,,45,CT,Sprint 3,2026-08-01
b013f82ee4b0,4,,,,,Verma,,45,CT,Sprint 3,2026-08-01
1d67740439a9,0,,,,,Verma,,45,CT,Sprint 3,2026-08-01
0fb2d8950531,0,यह वाई-फ़ाई बहुत बेकार है।,General Bad Service,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
ac2011cfa13e,8,Accha hai,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
1d32cff386ed,0,Due to bad strength and internet connection disappeared frequently.,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
ffa411b8bb5f,0,Humara net nhi chl rha kl raat se na meri adhai ho pa rhi tumlogon ki wjh se,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
da39a3f63f3c,3,Internet baar baar band ho jata h,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
7ad5f27fd5fb,8,"Kabhi kabhi bichme disconect ho jata hai
 Avrege chalta he",Frequent Disconnections,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
529e62c92474,2,Kabi bhi band ho jata ha,Frequent Disconnections,,Bad Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
b29724561825,0,Kyunki service bahut kharab hai. Mujhe har 2-3 din mein 1 baar internet ki complaint raise karni padti. Or ye problem mujhe tabse aa rahi hai jabse maine connection lagwaya hai.,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
c039e3a07c6c,3,Nahi kahunga...ek hafte me 5 din net aata hai...2 din gayab rehta hai....kisi or ko kahunga lagwane ke liye baadme mujhe gaaliya dega...,Frequent Disconnections,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
97970a5e987c,4,Net gets disrupted very often,Frequent Disconnections,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
0af0cee5501a,0,Net Providing System is not good and the problem solving team reaches after continuous efforts.....Today my net is not working since moring i have been complaning again and again but neither actions have been taken.... Completely disrespectful,Frequent Disconnections,Bad Customer Support - Call Centre,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
43aba0947cb8,0,Service bahut bekar h. Complaint jldi solve nahi hota.. network problem bhi bahut h. Kabhi bhi network disconnect hojajata h...,Frequent Disconnections,No/ Late Complaint Resolution,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
d6489d5a6488,0,"The biggest problem is your internet connection.4-5 times in a month, I face the connectivity issues.its not good at all.every time I have to call customer care.You people are not commited towards your customers.",Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
