respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
b9344b908cb8,7,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
da47e1677383,6,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
f10b04d4c8db,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
ddf185a08f16,9,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
79f0caa1e477,1,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
a22ed6364de1,2,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
b696357c8282,5,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
ac259982beba,10,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
a1d3dbc48356,6,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
1aad826bcc67,5,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
b286f644675d,0,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
a2119cd9ec2e,5,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
0562e74134d4,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
d51ccef5749b,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
00c349057328,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
b66e0c0e6465,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2691a8437cb5,10,10 dosth,General Good Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
1877bedff5a1,0,0 wifi calling support nhi har kuch time par net chalna bandd,Bad Customer Support - Call Centre ,,,Verma,,0,CT,Sprint RSP3,2026-03-01
dfc5bfce002e,10,,,,,Verma,,0,WA,Sprint RSP3,2026-03-01
6d43c2ef1f56,10,10 good ji,General Good Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
58a86f619d43,10,Theek hai ,General Good Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
