respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start,tenure_cut,first_time_user
a25998306c44,10,बहुत अच्छा नेट चल रहा है इसलिये जरूर देंगे,General Good Service,,General Good Service,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
921628cce1e4,10,सस्ता ओर अच्छा है,Affordable,General Good Service,Affordable,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
18994abc2c25,10,बच्चो की पढ़ाई और बेहतर भविष्य के लिए,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
a15d72c61d43,10,मैं एक साल से ज्यादा समय से इस्तेमाल कर रहा हूँ,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
75db0dabbb85,10,आपका नेट बहुत बढ़िया चलता है इसलिए हमसे उनका साला देंगे कि व्योम का ही नेट लगाए,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
9e30ccac15f4,10,सब में बेस्ट wiom की वाई-फाई हर तरफ बम पहुंचाओ घर बैठे रिचार्ज कर सकते हैं सस्ता भी है और अच्छा भी है ♥️😍,General Good Service,Affordable,General Good Service,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
ea20a1ff5fb1,10,सर्विस बेहतरीन है,General Good Service,,General Good Service,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
7c11ef455d6c,8,कभी बीच बीच में स्पीड छोड़ जाता है,Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
cd95e15544f7,9,Kyu ki ya aap bhout aacha ha prr is ka koi kharabe aa jate ha to bhout dino bad thek hota ha vase bhout aacha ha ya aap,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
d55515a501a9,1,नेट स्लो चलता है,Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Early (1-2 mo),No
e7acb7be931a,4,बहुत दिन तक बंद रहता है,Frequent Disconnections,,Frequent Disconnections,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
a4d70d53965a,6,आपका नेट कभी कभी बिल्कुल नहीं चलता अभी 2 दिनों से तो बिल्कुल नहीं चल रहा है हमने कंप्लेन भी डाली फिर भी कोई जवाब आया कृपया इंटरनेट का कुछ उपाय बताए,Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
1b947b5b9c2a,5,"क्यूंकि पिछले कुछ महीनों से नेट ब्शुट ज़ादा कनेक्ट - डिसकनेक्ट होता रहता हैँ, और स्पीड भी कम हो जाती हैँ. पहले ऐसा प्रॉब्लम नहीं होता था, अभी दो तीन मशीनों से प्रॉब्लम हो रही हैँ |",Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
5096762e7f83,5,अकसर रुक जाता हैं,Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
965e41fb70a6,0,ठीक से नहीं चलता हैं कभी कभी अचानक से बंद हो जाता हैं,Frequent Disconnections,,Frequent Disconnections,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),No
1927632129df,0,कंप्लेंट करने पर कार्यवाही नहीं की जाती,No/Late Complaint Resolution,,No/Late Complaint Resolution,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
f7e482edbe43,0,"नेट स्लो चलता है 5G बोल kar 4G ka नेट दे रहे हो इस लिए में किसी को सलाह नहीं दूंगा wiom लगाने की 
 कंप्लेंट करने पर भी वोही कंडीशन है जैसे पहले थी नेट स्लो",Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
1f5456b70b55,0,Wifi internet बार बार बंद हो जाता है। ओर 1 महीने से ज्यादा का प्लान भी नहीं है।,Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),No
662c82d863f3,3,नेट बहुत स्लो चलता है,Slow Speed,,Slow Speed,,Gorakhpur,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
37f2b660c725,7,नेटवर्क समस्या,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
60278d74a266,4,ज्यादातर धीमे चलता है,Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
99263455b632,0,आप प्लॅन बढा दिया और ऑटो पे भी बंद कर दिया काम सै काम ओल्ड लोगो का नही करणा च्या था जिस का चालू था ओ पुरा करणा था आपकी सर्व्हिस और प्लॅन अच्छा था करके लिया था हमने एरटेल कट करके आपका नेट लिया था हम आपकी इस पॉलिसि पर नाखुष हे अगर सुधीर सकते तो सुधीर किजियं,General Bad Service,,General Bad Service,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
0f6dd9868166,0,खराब सर्विस और खराब नेटवर्क,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
4515f70fcb14,1,इतने घटिया नेटवर्क है.... मे. किसी से आगे से नहीं कहूँगी इनका वाईफाई लगाओ,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
d973b9b8be33,0,खराब सर्विस,General Bad Service,,General Bad Service,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),No
d01eb9ea3819,0,सही सर्विस नहीं देते,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
ab8ae94911b3,0,15 दिन से नेट नहीं चल रहा था बार-बार कंप्लेंट करने के बावजूद भी हमारी समस्या हल नहीं हुई इस कारण हम अपना व्योम का वाई-फाई कटवाना चाहते हैं,Frequent Disconnections,No/Late Complaint Resolution,Frequent Disconnections,,Bareilly,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),
bcca81920a92,1,आपकी सर्विस बिल्कुल बेकार है कोई एजेंट नहीं आता जल्दी जिससे हमारी काम का बहुत नुकसान होता है और ये अगर 500 रुपए से ऊपर रिचार्ज किया तो हमें आपका wiom नहीं चाहिए,General Bad Service,Bad Customer Support - Call Centre,General Bad Service,,Agra,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
b46b80092de0,0,"आपकी सेवा बिल्कुल भी ठिक नहीं है। आपका जो इंटरनेट है बहुत ही धीमे चलता हैं, जोकि बहुत क्रोधित कर देता है",General Bad Service,Bad Customer Support - Call Centre,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
